GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US410670316134,410670316134,"Block Group 4, Census Tract 316.13, Washington County, Oregon",2008,280,49,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,11,0,12,355,137,57,56,115,96,269,129,208,111,553,209,336,129,40,41,21,33
1500000US410670316141,410670316141,"Block Group 1, Census Tract 316.14, Washington County, Oregon",1404,190,24,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,29,36,3,7,24,27,20,23,226,120,63,38,114,64,212,77,213,80,344,116,94,58,0,12,31,36
1500000US410670316142,410670316142,"Block Group 2, Census Tract 316.14, Washington County, Oregon",2270,242,33,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,28,0,12,18,27,0,12,0,12,23,28,29,22,344,103,75,51,233,79,457,176,300,109,542,136,173,58,8,13,15,16
1500000US410670316151,410670316151,"Block Group 1, Census Tract 316.15, Washington County, Oregon",1173,241,17,26,0,12,0,12,0,12,0,12,21,28,0,12,0,12,153,114,40,37,31,39,0,12,0,12,0,12,70,49,329,153,111,83,56,37,67,54,122,70,147,70,9,15,0,12,0,12
1500000US410670316152,410670316152,"Block Group 2, Census Tract 316.15, Washington County, Oregon",864,154,8,12,0,12,0,12,0,12,8,14,0,12,0,12,0,12,31,35,9,16,0,12,9,14,8,13,34,37,39,47,221,111,61,42,61,41,133,65,40,29,149,53,53,44,0,12,0,12
1500000US410670316153,410670316153,"Block Group 3, Census Tract 316.15, Washington County, Oregon",808,148,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,18,12,17,0,12,0,12,34,40,239,98,0,12,52,37,118,67,173,75,116,61,27,24,10,17,17,19
1500000US410670316154,410670316154,"Block Group 4, Census Tract 316.15, Washington County, Oregon",533,137,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,25,39,0,12,0,12,150,105,27,44,62,47,34,28,63,50,109,54,56,41,0,12,0,12
1500000US410670316161,410670316161,"Block Group 1, Census Tract 316.16, Washington County, Oregon",1007,146,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,13,15,100,50,32,35,153,82,175,78,121,57,260,87,107,52,0,12,39,29
1500000US410670316162,410670316162,"Block Group 2, Census Tract 316.16, Washington County, Oregon",1601,193,32,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,30,40,48,0,12,9,15,12,19,0,12,7,10,360,108,63,50,82,45,234,88,135,75,387,113,155,64,25,39,41,34
1500000US410670316171,410670316171,"Block Group 1, Census Tract 316.17, Washington County, Oregon",1148,290,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,66,0,12,0,12,10,18,208,136,0,12,41,47,47,77,181,109,251,107,280,137,18,34,71,50
1500000US410670316172,410670316172,"Block Group 2, Census Tract 316.17, Washington County, Oregon",998,288,25,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,50,0,12,60,68,27,31,51,50,89,82,29,33,190,103,325,139,84,71,87,61
1500000US410670316173,410670316173,"Block Group 3, Census Tract 316.17, Washington County, Oregon",938,270,42,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,22,0,12,19,30,177,151,53,43,365,181,70,57,25,40,167,97
1500000US410670316174,410670316174,"Block Group 4, Census Tract 316.17, Washington County, Oregon",571,206,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,27,30,46,183,155,95,74,160,162,10,16,77,93
1500000US410670317031,410670317031,"Block Group 1, Census Tract 317.03, Washington County, Oregon",1160,180,46,39,0,12,0,12,0,12,0,12,0,12,25,39,0,12,31,48,0,12,23,27,0,12,10,15,32,37,13,16,276,104,29,25,154,103,215,89,106,70,160,84,10,16,0,12,30,25
1500000US410670317032,410670317032,"Block Group 2, Census Tract 317.03, Washington County, Oregon",688,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,40,39,136,71,64,53,57,51,131,69,61,47,130,67,26,27,22,19,11,18
1500000US410670317033,410670317033,"Block Group 3, Census Tract 317.03, Washington County, Oregon",1465,171,8,16,0,12,0,12,0,12,11,16,0,12,0,12,0,12,38,35,20,30,0,12,14,24,0,12,13,19,0,12,282,93,78,48,158,59,342,97,183,63,275,127,36,27,0,12,7,11
1500000US410670317041,410670317041,"Block Group 1, Census Tract 317.04, Washington County, Oregon",1221,252,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,29,24,39,0,12,0,12,17,36,220,116,71,54,121,77,387,213,112,77,217,113,10,17,17,26,12,20
1500000US410670317042,410670317042,"Block Group 2, Census Tract 317.04, Washington County, Oregon",900,197,50,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,9,0,12,23,23,0,12,7,16,182,110,25,33,71,66,231,123,143,97,101,55,63,60,0,12,0,12
1500000US410670317043,410670317043,"Block Group 3, Census Tract 317.04, Washington County, Oregon",695,234,23,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,36,0,12,14,23,0,12,45,49,145,91,53,51,17,25,85,86,165,121,107,88,18,30,0,12,0,12
1500000US410670317044,410670317044,"Block Group 4, Census Tract 317.04, Washington County, Oregon",720,301,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,25,52,55,0,12,55,59,70,73,124,77,69,109,81,55,62,45,19,29,149,78,23,27,0,12,0,12
1500000US410670317045,410670317045,"Block Group 5, Census Tract 317.04, Washington County, Oregon",742,230,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,15,47,73,51,71,0,12,212,155,0,12,31,37,153,78,33,36,208,117,0,12,0,12,0,12
1500000US410670317046,410670317046,"Block Group 6, Census Tract 317.04, Washington County, Oregon",1904,309,23,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,40,45,43,50,71,57,392,177,144,84,58,57,385,139,238,120,328,155,182,79,0,12,0,12
1500000US410670317051,410670317051,"Block Group 1, Census Tract 317.05, Washington County, Oregon",884,212,46,64,0,12,0,12,0,12,0,12,0,12,0,12,11,19,55,60,0,12,0,12,30,46,35,55,18,19,8,13,133,79,112,80,38,33,142,87,139,121,108,57,9,14,0,12,0,12
1500000US410670317052,410670317052,"Block Group 2, Census Tract 317.05, Washington County, Oregon",1412,271,34,41,0,12,0,12,0,12,0,12,0,12,0,12,16,26,16,30,0,12,89,95,12,20,34,41,12,19,21,25,207,100,184,131,100,57,206,86,123,59,310,153,48,44,0,12,0,12
1500000US410670317053,410670317053,"Block Group 3, Census Tract 317.05, Washington County, Oregon",997,158,48,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,24,0,12,21,32,0,12,0,12,0,12,13,19,157,74,30,25,61,40,225,96,145,71,242,123,41,38,0,12,0,12
1500000US410670317061,410670317061,"Block Group 1, Census Tract 317.06, Washington County, Oregon",1676,225,39,44,0,12,0,12,0,12,0,12,0,12,0,12,15,22,103,72,0,12,18,20,35,43,0,12,28,37,60,50,238,97,115,76,99,55,200,106,140,75,405,140,129,77,52,47,0,12
1500000US410670317062,410670317062,"Block Group 2, Census Tract 317.06, Washington County, Oregon",822,182,16,20,0,12,9,15,0,12,30,44,0,12,0,12,0,12,18,28,7,12,0,12,73,85,0,12,31,36,23,36,121,82,55,72,58,55,97,59,129,105,140,66,8,13,7,11,0,12
1500000US410670317063,410670317063,"Block Group 3, Census Tract 317.06, Washington County, Oregon",924,157,28,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,23,18,29,0,12,0,12,0,12,265,114,62,37,10,15,129,67,179,110,164,66,33,31,20,23,0,12
1500000US410670318041,410670318041,"Block Group 1, Census Tract 318.04, Washington County, Oregon",1509,259,6,11,0,12,0,12,0,12,1,6,0,12,0,12,0,12,10,17,1,5,20,32,0,12,35,56,12,20,0,12,102,67,24,36,82,57,236,100,131,72,518,200,247,88,61,48,23,28
1500000US410670318042,410670318042,"Block Group 2, Census Tract 318.04, Washington County, Oregon",2792,325,52,47,0,12,0,12,0,12,0,12,27,37,0,12,0,12,25,33,30,39,97,77,0,12,86,80,0,12,25,28,408,186,120,80,263,143,418,139,307,134,618,109,274,137,8,13,34,35
1500000US410670318051,410670318051,"Block Group 1, Census Tract 318.05, Washington County, Oregon",1424,414,22,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,95,88,8,15,250,133,67,103,54,54,228,133,255,138,370,136,44,32,16,26,15,26
1500000US410670318052,410670318052,"Block Group 2, Census Tract 318.05, Washington County, Oregon",2099,245,0,12,0,12,0,12,0,12,0,12,0,12,22,37,0,12,0,12,34,51,0,12,0,12,18,30,0,12,15,24,270,127,68,68,147,77,225,82,250,128,630,183,324,101,33,34,63,56
1500000US410670318053,410670318053,"Block Group 3, Census Tract 318.05, Washington County, Oregon",552,194,58,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,65,0,12,0,12,0,12,13,21,57,46,58,52,51,35,81,73,24,27,150,94,16,19,0,12,0,12
1500000US410670318054,410670318054,"Block Group 4, Census Tract 318.05, Washington County, Oregon",1080,244,36,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,32,0,12,0,12,0,12,192,97,35,46,78,47,134,84,93,59,329,116,70,48,61,62,39,44
1500000US410670318061,410670318061,"Block Group 1, Census Tract 318.06, Washington County, Oregon",1210,295,16,19,0,12,0,12,0,12,9,20,0,12,0,12,0,12,61,78,0,12,0,12,27,49,13,20,0,12,62,73,257,140,0,12,89,53,182,93,38,36,320,127,94,53,16,25,26,40
1500000US410670318062,410670318062,"Block Group 2, Census Tract 318.06, Washington County, Oregon",848,184,0,12,2,6,3,6,0,12,0,12,2,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,215,96,26,32,75,47,143,71,106,86,203,89,66,42,7,12,0,12
1500000US410670318063,410670318063,"Block Group 3, Census Tract 318.06, Washington County, Oregon",1887,208,52,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,38,0,12,26,41,0,12,0,12,22,23,238,114,8,13,177,77,341,108,193,95,503,124,278,112,24,25,0,12
1500000US410670318071,410670318071,"Block Group 1, Census Tract 318.07, Washington County, Oregon",1134,147,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,28,0,12,0,12,14,18,0,12,0,12,22,20,121,54,65,52,121,62,244,101,83,40,246,71,147,103,26,31,21,24
1500000US410670318072,410670318072,"Block Group 2, Census Tract 318.07, Washington County, Oregon",1524,181,58,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,227,119,43,48,90,95,191,64,76,47,553,147,199,72,43,47,44,31
1500000US410670318121,410670318121,"Block Group 1, Census Tract 318.12, Washington County, Oregon",1718,344,29,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,127,84,27,30,72,50,188,86,132,94,480,154,515,208,101,120,47,46
1500000US410670318122,410670318122,"Block Group 2, Census Tract 318.12, Washington County, Oregon",2250,365,22,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,37,54,0,12,14,23,0,12,190,94,53,49,192,109,510,207,215,120,658,227,206,91,106,115,33,36
1500000US410670318131,410670318131,"Block Group 1, Census Tract 318.13, Washington County, Oregon",2112,268,17,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,24,38,0,12,16,25,132,76,7,12,139,77,170,82,191,118,787,190,420,163,80,81,115,63
1500000US410670318132,410670318132,"Block Group 2, Census Tract 318.13, Washington County, Oregon",1604,267,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,168,100,0,12,90,60,386,184,53,43,548,206,242,110,66,53,40,37
1500000US410670318141,410670318141,"Block Group 1, Census Tract 318.14, Washington County, Oregon",613,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,35,0,12,41,30,126,57,56,36,233,67,82,43,9,14,20,17
1500000US410670318142,410670318142,"Block Group 2, Census Tract 318.14, Washington County, Oregon",2161,193,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,10,15,7,12,0,12,17,28,240,152,2,4,124,54,229,75,209,84,785,133,359,86,25,24,143,61
1500000US410670318151,410670318151,"Block Group 1, Census Tract 318.15, Washington County, Oregon",1653,256,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,20,31,189,117,0,12,68,45,194,126,169,110,622,148,315,121,15,27,48,77
