GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US410670311001,410670311001,"Block Group 1, Census Tract 311, Washington County, Oregon",43404,10592
1500000US410670311002,410670311002,"Block Group 2, Census Tract 311, Washington County, Oregon",37083,11954
1500000US410670312001,410670312001,"Block Group 1, Census Tract 312, Washington County, Oregon",48068,19230
1500000US410670312002,410670312002,"Block Group 2, Census Tract 312, Washington County, Oregon",31133,3906
1500000US410670312003,410670312003,"Block Group 3, Census Tract 312, Washington County, Oregon",44792,20848
1500000US410670312004,410670312004,"Block Group 4, Census Tract 312, Washington County, Oregon",43487,11098
1500000US410670313001,410670313001,"Block Group 1, Census Tract 313, Washington County, Oregon",33828,4707
1500000US410670313002,410670313002,"Block Group 2, Census Tract 313, Washington County, Oregon",50769,19084
1500000US410670313003,410670313003,"Block Group 3, Census Tract 313, Washington County, Oregon",42468,28942
1500000US410670313004,410670313004,"Block Group 4, Census Tract 313, Washington County, Oregon",55556,28150
1500000US410670314021,410670314021,"Block Group 1, Census Tract 314.02, Washington County, Oregon",41944,11023
1500000US410670314022,410670314022,"Block Group 2, Census Tract 314.02, Washington County, Oregon",68214,14227
1500000US410670314031,410670314031,"Block Group 1, Census Tract 314.03, Washington County, Oregon",59293,20590
1500000US410670314032,410670314032,"Block Group 2, Census Tract 314.03, Washington County, Oregon",59350,3183
1500000US410670314033,410670314033,"Block Group 3, Census Tract 314.03, Washington County, Oregon",68514,11379
1500000US410670314041,410670314041,"Block Group 1, Census Tract 314.04, Washington County, Oregon",65662,11827
1500000US410670314042,410670314042,"Block Group 2, Census Tract 314.04, Washington County, Oregon",76094,49173
1500000US410670314043,410670314043,"Block Group 3, Census Tract 314.04, Washington County, Oregon",59043,10410
1500000US410670314044,410670314044,"Block Group 4, Census Tract 314.04, Washington County, Oregon",80417,18297
1500000US410670315041,410670315041,"Block Group 1, Census Tract 315.04, Washington County, Oregon",89513,6916
1500000US410670315042,410670315042,"Block Group 2, Census Tract 315.04, Washington County, Oregon",111442,29623
1500000US410670315043,410670315043,"Block Group 3, Census Tract 315.04, Washington County, Oregon",50697,15190
1500000US410670315044,410670315044,"Block Group 4, Census Tract 315.04, Washington County, Oregon",79146,8926
1500000US410670315061,410670315061,"Block Group 1, Census Tract 315.06, Washington County, Oregon",132670,15615
1500000US410670315062,410670315062,"Block Group 2, Census Tract 315.06, Washington County, Oregon",58438,7890
1500000US410670315071,410670315071,"Block Group 1, Census Tract 315.07, Washington County, Oregon",131188,28421
1500000US410670315072,410670315072,"Block Group 2, Census Tract 315.07, Washington County, Oregon",90469,23935
1500000US410670315073,410670315073,"Block Group 3, Census Tract 315.07, Washington County, Oregon",52277,4053
1500000US410670315081,410670315081,"Block Group 1, Census Tract 315.08, Washington County, Oregon",152833,32138
1500000US410670315082,410670315082,"Block Group 2, Census Tract 315.08, Washington County, Oregon",180200,42213
1500000US410670315083,410670315083,"Block Group 3, Census Tract 315.08, Washington County, Oregon",51301,13892
1500000US410670315084,410670315084,"Block Group 4, Census Tract 315.08, Washington County, Oregon",192171,39899
1500000US410670315085,410670315085,"Block Group 5, Census Tract 315.08, Washington County, Oregon",162807,43920
1500000US410670315091,410670315091,"Block Group 1, Census Tract 315.09, Washington County, Oregon",88798,7740
1500000US410670315092,410670315092,"Block Group 2, Census Tract 315.09, Washington County, Oregon",107844,45398
1500000US410670315111,410670315111,"Block Group 1, Census Tract 315.11, Washington County, Oregon",115221,21205
1500000US410670315112,410670315112,"Block Group 2, Census Tract 315.11, Washington County, Oregon",58036,21211
1500000US410670315121,410670315121,"Block Group 1, Census Tract 315.12, Washington County, Oregon",71023,31166
1500000US410670315122,410670315122,"Block Group 2, Census Tract 315.12, Washington County, Oregon",96490,18566
1500000US410670315123,410670315123,"Block Group 3, Census Tract 315.12, Washington County, Oregon",92769,8956
1500000US410670315131,410670315131,"Block Group 1, Census Tract 315.13, Washington County, Oregon",175417,30608
1500000US410670315132,410670315132,"Block Group 2, Census Tract 315.13, Washington County, Oregon",103675,6041
1500000US410670315133,410670315133,"Block Group 3, Census Tract 315.13, Washington County, Oregon",157990,9216
1500000US410670315141,410670315141,"Block Group 1, Census Tract 315.14, Washington County, Oregon",155043,93670
1500000US410670315142,410670315142,"Block Group 2, Census Tract 315.14, Washington County, Oregon",102661,11801
1500000US410670315143,410670315143,"Block Group 3, Census Tract 315.14, Washington County, Oregon",84050,39212
1500000US410670316061,410670316061,"Block Group 1, Census Tract 316.06, Washington County, Oregon",60887,10280
1500000US410670316062,410670316062,"Block Group 2, Census Tract 316.06, Washington County, Oregon",51356,8560
1500000US410670316063,410670316063,"Block Group 3, Census Tract 316.06, Washington County, Oregon",76279,4062
1500000US410670316091,410670316091,"Block Group 1, Census Tract 316.09, Washington County, Oregon",78175,14695
1500000US410670316092,410670316092,"Block Group 2, Census Tract 316.09, Washington County, Oregon",49156,4899
1500000US410670316093,410670316093,"Block Group 3, Census Tract 316.09, Washington County, Oregon",78045,9585
1500000US410670316094,410670316094,"Block Group 4, Census Tract 316.09, Washington County, Oregon",73079,12068
1500000US410670316101,410670316101,"Block Group 1, Census Tract 316.10, Washington County, Oregon",149886,56485
1500000US410670316102,410670316102,"Block Group 2, Census Tract 316.10, Washington County, Oregon",49958,14292
1500000US410670316103,410670316103,"Block Group 3, Census Tract 316.10, Washington County, Oregon",48565,8851
1500000US410670316104,410670316104,"Block Group 4, Census Tract 316.10, Washington County, Oregon",65446,19185
1500000US410670316105,410670316105,"Block Group 5, Census Tract 316.10, Washington County, Oregon",65383,9181
1500000US410670316111,410670316111,"Block Group 1, Census Tract 316.11, Washington County, Oregon",83221,11184
1500000US410670316112,410670316112,"Block Group 2, Census Tract 316.11, Washington County, Oregon",86631,7473
1500000US410670316113,410670316113,"Block Group 3, Census Tract 316.11, Washington County, Oregon",93598,22344
1500000US410670316121,410670316121,"Block Group 1, Census Tract 316.12, Washington County, Oregon",77241,7624
1500000US410670316131,410670316131,"Block Group 1, Census Tract 316.13, Washington County, Oregon",71985,15206
1500000US410670316132,410670316132,"Block Group 2, Census Tract 316.13, Washington County, Oregon",64453,24817
1500000US410670316133,410670316133,"Block Group 3, Census Tract 316.13, Washington County, Oregon",54322,33669
1500000US410670316134,410670316134,"Block Group 4, Census Tract 316.13, Washington County, Oregon",47350,10910
1500000US410670316141,410670316141,"Block Group 1, Census Tract 316.14, Washington County, Oregon",94405,6804
1500000US410670316142,410670316142,"Block Group 2, Census Tract 316.14, Washington County, Oregon",73796,9940
1500000US410670316151,410670316151,"Block Group 1, Census Tract 316.15, Washington County, Oregon",32346,22107
1500000US410670316152,410670316152,"Block Group 2, Census Tract 316.15, Washington County, Oregon",81667,13900
1500000US410670316153,410670316153,"Block Group 3, Census Tract 316.15, Washington County, Oregon",73750,10822
1500000US410670316154,410670316154,"Block Group 4, Census Tract 316.15, Washington County, Oregon",73750,20775
1500000US410670316161,410670316161,"Block Group 1, Census Tract 316.16, Washington County, Oregon",64282,7013
1500000US410670316162,410670316162,"Block Group 2, Census Tract 316.16, Washington County, Oregon",58029,7467
1500000US410670316171,410670316171,"Block Group 1, Census Tract 316.17, Washington County, Oregon",92083,5780
1500000US410670316172,410670316172,"Block Group 2, Census Tract 316.17, Washington County, Oregon",80000,13637
1500000US410670316173,410670316173,"Block Group 3, Census Tract 316.17, Washington County, Oregon",84107,23559
1500000US410670316174,410670316174,"Block Group 4, Census Tract 316.17, Washington County, Oregon",73750,24802
1500000US410670317031,410670317031,"Block Group 1, Census Tract 317.03, Washington County, Oregon",68958,13215
1500000US410670317032,410670317032,"Block Group 2, Census Tract 317.03, Washington County, Oregon",65750,15580
1500000US410670317033,410670317033,"Block Group 3, Census Tract 317.03, Washington County, Oregon",58393,6816
1500000US410670317041,410670317041,"Block Group 1, Census Tract 317.04, Washington County, Oregon",98250,29138
1500000US410670317042,410670317042,"Block Group 2, Census Tract 317.04, Washington County, Oregon",71186,16665
1500000US410670317043,410670317043,"Block Group 3, Census Tract 317.04, Washington County, Oregon",97545,68412
1500000US410670317044,410670317044,"Block Group 4, Census Tract 317.04, Washington County, Oregon",53594,12215
1500000US410670317045,410670317045,"Block Group 5, Census Tract 317.04, Washington County, Oregon",63438,15591
1500000US410670317046,410670317046,"Block Group 6, Census Tract 317.04, Washington County, Oregon",83000,5592
1500000US410670317051,410670317051,"Block Group 1, Census Tract 317.05, Washington County, Oregon",50612,14917
1500000US410670317052,410670317052,"Block Group 2, Census Tract 317.05, Washington County, Oregon",61495,15214
1500000US410670317053,410670317053,"Block Group 3, Census Tract 317.05, Washington County, Oregon",46750,15922
1500000US410670317061,410670317061,"Block Group 1, Census Tract 317.06, Washington County, Oregon",39302,6081
1500000US410670317062,410670317062,"Block Group 2, Census Tract 317.06, Washington County, Oregon",55511,25530
1500000US410670317063,410670317063,"Block Group 3, Census Tract 317.06, Washington County, Oregon",80833,11821
1500000US410670318041,410670318041,"Block Group 1, Census Tract 318.04, Washington County, Oregon",90195,28264
1500000US410670318042,410670318042,"Block Group 2, Census Tract 318.04, Washington County, Oregon",81250,15697
1500000US410670318051,410670318051,"Block Group 1, Census Tract 318.05, Washington County, Oregon",82977,6252
1500000US410670318052,410670318052,"Block Group 2, Census Tract 318.05, Washington County, Oregon",135750,22668
1500000US410670318053,410670318053,"Block Group 3, Census Tract 318.05, Washington County, Oregon",73068,24538
1500000US410670318054,410670318054,"Block Group 4, Census Tract 318.05, Washington County, Oregon",102037,18862
1500000US410670318061,410670318061,"Block Group 1, Census Tract 318.06, Washington County, Oregon",59271,19478
1500000US410670318062,410670318062,"Block Group 2, Census Tract 318.06, Washington County, Oregon",73009,13531
1500000US410670318063,410670318063,"Block Group 3, Census Tract 318.06, Washington County, Oregon",92227,12832
1500000US410670318071,410670318071,"Block Group 1, Census Tract 318.07, Washington County, Oregon",50563,14793
1500000US410670318072,410670318072,"Block Group 2, Census Tract 318.07, Washington County, Oregon",93269,8703
1500000US410670318121,410670318121,"Block Group 1, Census Tract 318.12, Washington County, Oregon",105590,26559
1500000US410670318122,410670318122,"Block Group 2, Census Tract 318.12, Washington County, Oregon",53969,10365
1500000US410670318131,410670318131,"Block Group 1, Census Tract 318.13, Washington County, Oregon",126250,25542
1500000US410670318132,410670318132,"Block Group 2, Census Tract 318.13, Washington County, Oregon",75795,27971
1500000US410670318141,410670318141,"Block Group 1, Census Tract 318.14, Washington County, Oregon",95125,27948
1500000US410670318142,410670318142,"Block Group 2, Census Tract 318.14, Washington County, Oregon",136219,7937
1500000US410670318151,410670318151,"Block Group 1, Census Tract 318.15, Washington County, Oregon",128750,52801
1500000US410670318152,410670318152,"Block Group 2, Census Tract 318.15, Washington County, Oregon",89271,18152
1500000US410670318153,410670318153,"Block Group 3, Census Tract 318.15, Washington County, Oregon",94135,14230
1500000US410670319041,410670319041,"Block Group 1, Census Tract 319.04, Washington County, Oregon",111181,17554
1500000US410670319042,410670319042,"Block Group 2, Census Tract 319.04, Washington County, Oregon",84375,24633
1500000US410670319071,410670319071,"Block Group 1, Census Tract 319.07, Washington County, Oregon",78021,18526
1500000US410670319072,410670319072,"Block Group 2, Census Tract 319.07, Washington County, Oregon",56296,13269
1500000US410670319073,410670319073,"Block Group 3, Census Tract 319.07, Washington County, Oregon",29828,7191
1500000US410670319074,410670319074,"Block Group 4, Census Tract 319.07, Washington County, Oregon",47583,27205
1500000US410670319075,410670319075,"Block Group 5, Census Tract 319.07, Washington County, Oregon",51992,16227
